INPUT;REGIONAL;CEP;BAIRRO;MUNICIPIO;ENDERECO
VIVO0212248;SP;07034010;VARZEA DO PALACIO;GUARULHOS;RODOVIA PRESIDENTE DUTRA S/N
VIVO0212249;SP;07034010;VARZEA DO PALACIO;GUARULHOS;RODOVIA PRESIDENTE DUTRA S/N
VIVO0212250;SP;07034010;VARZEA DO PALACIO;GUARULHOS;RODOVIA PRESIDENTE DUTRA S/N
VIVO0212251;SP;07034010;VARZEA DO PALACIO;GUARULHOS;RODOVIA PRESIDENTE DUTRA S/N
VIVO0212252;SP;07034010;VARZEA DO PALACIO;GUARULHOS;RODOVIA PRESIDENTE DUTRA S/N
VIVO0212253;SP;07034010;VARZEA DO PALACIO;GUARULHOS;RODOVIA PRESIDENTE DUTRA S/N
VIVO0212254;SP;07034010;VARZEA DO PALACIO;GUARULHOS;RODOVIA PRESIDENTE DUTRA S/N
VIVO0212255;SP;07034010;VARZEA DO PALACIO;GUARULHOS;RODOVIA PRESIDENTE DUTRA S/N
VIVO0212256;SP;07034010;VARZEA DO PALACIO;GUARULHOS;RODOVIA PRESIDENTE DUTRA S/N
VIVO0212257;SP;07034010;VARZEA DO PALACIO;GUARULHOS;RODOVIA PRESIDENTE DUTRA S/N
VIVO0212258;SP;07034010;VARZEA DO PALACIO;GUARULHOS;RODOVIA PRESIDENTE DUTRA S/N
